url,id,square_meters,land_title,address,map_link,image_url
https://www.f-takken.com/freins/items/99184242,99184242,公簿1131.1㎡ / 約342.15坪,宅地,宇佐市子安町２丁目 (地番[10-2]),"https://maps.google.co.jp/maps?q=33.5673684332,131.365635244+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99184242478.jpg
https://www.f-takken.com/freins/items/98616312,98616312,公簿825㎡ / 約249.56坪,宅地,みやま市高田町濃施519-1,https://www.google.co.jp/maps/place/%E3%81%BF%E3%82%84%E3%81%BE%E5%B8%82%E9%AB%98%E7%94%B0%E7%94%BA%E6%BF%83%E6%96%BD,https://www.f-takken.com/photo/98616312478.jpg
https://www.f-takken.com/freins/items/99544656,99544656,公簿516.72㎡ / 約156.3坪,宅地,八女市黒木町桑原134-2,"https://maps.google.co.jp/maps?q=33.2121000373,130.666600042+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/EM1-00015001-1.jpg
https://www.f-takken.com/freins/items/99476550,99476550,公簿662㎡ / 約200.25坪,畑,遠賀郡岡垣町大字内浦 (地番[942-3]),"https://maps.google.co.jp/maps?q=33.8704025379,130.567341879+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/0597vv5pky.jpg
https://www.f-takken.com/freins/items/99565923,99565923,公簿948.18㎡ / 約286.82坪,宅地,飯塚市中,"https://maps.google.co.jp/maps?q=33.6681925813,130.680377148+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99565923479.jpg
https://www.f-takken.com/freins/items/98834090,98834090,実測1300㎡ / 約393.25坪,宅地,田川郡大任町大字大行事 (地番[1594-1]),"https://maps.google.co.jp/maps?q=33.6003969106,130.854631247+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/98834090478.jpg
https://www.f-takken.com/freins/items/98483532,98483532,公簿1021㎡ / 約308.85坪,山林,飯塚市横田643-25,"https://maps.google.co.jp/maps?q=33.6427581235,130.663586905+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/98483532478.jpg
https://www.f-takken.com/freins/items/99499245,99499245,公簿556.76㎡ / 約168.42坪,宅地,嘉麻市漆生917-51 (地番[917-51]),"https://maps.google.co.jp/maps?q=33.5816602253,130.725515884+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99499245478.jpg
https://www.f-takken.com/freins/items/99614594,99614594,公簿746㎡ / 約225.66坪,畑,大牟田市長田町76-1,"https://maps.google.co.jp/maps?q=33.0132419536,130.442979643+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99614594478.jpg
https://www.f-takken.com/freins/items/99531636,99531636,公簿567.06㎡ / 約171.53坪,宅地,久留米市田主丸町鷹取668,"https://maps.google.co.jp/maps?q=33.3460197686,130.722847827+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99531636478.jpg
https://www.f-takken.com/freins/items/99395728,99395728,公簿598.79㎡ / 約181.13坪,宅地,対馬市美津島町久須保 (地番[557-13]),"https://maps.google.co.jp/maps?q=34.2768545577,129.363703402+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99395728478.jpg
https://www.f-takken.com/freins/items/99578474,99578474,公簿1240.44㎡ / 約375.23坪,宅地,久留米市田主丸町森部730,https://www.google.co.jp/maps/place/%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E7%94%B0%E4%B8%BB%E4%B8%B8%E7%94%BA%E6%A3%AE%E9%83%A8,https://www.f-takken.com/photo/99578474478.jpg
https://www.f-takken.com/freins/items/99580554,99580554,公簿1008.99㎡ / 約305.21坪,宅地,北九州市門司区丸山２丁目11-3のとなり (地番[301-7他]),"https://maps.google.co.jp/maps?q=33.9366501333,130.968703539+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/06amqpyuhe.jpg
https://www.f-takken.com/freins/items/99422352,99422352,公簿516.68㎡ / 約156.29坪,宅地,飯塚市弁分495-14,"https://maps.google.co.jp/maps?q=33.6213742012,130.658169748+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99422352479.jpg
https://www.f-takken.com/freins/items/99457476,99457476,公簿900㎡ / 約272.25坪,畑,福津市手光 (地番[1777-8]),"https://maps.google.co.jp/maps?q=33.7697358206,130.502745629+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/0597ouopdt.jpg
https://www.f-takken.com/freins/items/99563471,99563471,公簿1099.58㎡ / 約332.62坪,宅地,嘉麻市漆生653 (地番[8]),"https://maps.google.co.jp/maps?q=33.5825434411,130.724658008+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99563471478.jpg
https://www.f-takken.com/freins/items/99358367,99358367,公簿743.71㎡ / 約224.97坪,その他（宅地＋畑）,朝倉市三奈木1336番1 (地番[1336番1]),"https://maps.google.co.jp/maps?q=33.4049198484,130.704605731+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99358367478.jpg
https://www.f-takken.com/freins/items/98460100,98460100,公簿642㎡ / 約194.2坪,山林,鞍手郡小竹町大字勝野,"https://maps.google.co.jp/maps?q=33.6906995112,130.707814711+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/98460100478.jpg
https://www.f-takken.com/freins/items/99612847,99612847,公簿548㎡ / 約165.77坪,その他（原野）,宗像市鐘崎133-1,"https://maps.google.co.jp/maps?q=33.8836213302,130.533255455+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99612847478.jpg
https://www.f-takken.com/freins/items/99337989,99337989,公簿1300㎡ / 約393.25坪,畑,久留米市草野町草野,"https://maps.google.co.jp/maps?q=33.3210345165,130.635720216+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99337989481.jpg
https://www.f-takken.com/freins/items/99326974,99326974,公簿504.76㎡ / 約152.69坪,雑種地,田川郡福智町神崎 (地番[250-1]),"https://maps.google.co.jp/maps?q=33.669723993,130.770685895+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99326974478.jpg
https://www.f-takken.com/freins/items/98953896,98953896,公簿762㎡ / 約230.5坪,田,行橋市大字元永985 (地番[1]),"https://maps.google.co.jp/maps?q=33.7239054536,131.008496933+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/98953896480.jpg
https://www.f-takken.com/freins/items/98146448,98146448,公簿781.19㎡ / 約236.31坪,宅地,福津市奴山1182(建物売買不可) (地番[1182-1（建物売買不可）]),"https://maps.google.co.jp/maps?q=33.819766796,130.49300473+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/98146448479.jpg
https://www.f-takken.com/freins/items/99093274,99093274,公簿560㎡ / 約169.4坪,雑種地,荒尾市下井手193-136,"https://maps.google.co.jp/maps?q=33.0000602808,130.459368494+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99093274478.jpg
https://www.f-takken.com/freins/items/99535451,99535451,公簿549㎡ / 約166.07坪,畑,"飯塚市潤野579-1,572-1",https://www.google.co.jp/maps/place/%E9%A3%AF%E5%A1%9A%E5%B8%82%E6%BD%A4%E9%87%8E,https://www.f-takken.com/photo/06ag83svayp1.jpg
https://www.f-takken.com/freins/items/99353090,99353090,公簿785㎡ / 約237.46坪,畑,大牟田市大字三池198,"https://maps.google.co.jp/maps?q=33.0501902735,130.477152382+(%E3%82%B3%E3%82%B3)",https://www.f-takken.com/photo/99353090478.jpg
