url,square_meters,id,land_title
https://www.f-takken.com/freins/items/99461612,公簿653.44㎡ / 約197.66坪,99461612,宅地
https://www.f-takken.com/freins/items/99461612,公簿653.44㎡ / 約197.66坪,99461612,宅地
https://www.f-takken.com/freins/items/99461612,公簿653.44㎡ / 約197.66坪,99461612,宅地
https://www.f-takken.com/freins/items/99461612,公簿653.44㎡ / 約197.66坪,99461612,宅地
https://www.f-takken.com/freins/items/99461612,公簿653.44㎡ / 約197.66坪,99461612,宅地
https://www.f-takken.com/freins/items/98228529,公簿635.19㎡ / 約192.14坪,98228529,宅地
https://www.f-takken.com/freins/items/98228529,公簿635.19㎡ / 約192.14坪,98228529,宅地
https://www.f-takken.com/freins/items/98228529,公簿635.19㎡ / 約192.14坪,98228529,宅地
https://www.f-takken.com/freins/items/98228529,公簿635.19㎡ / 約192.14坪,98228529,宅地
https://www.f-takken.com/freins/items/98228529,公簿635.19㎡ / 約192.14坪,98228529,宅地
